Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:17:58 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:59 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:00 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:01 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:02 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:03 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:04 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:05 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:06 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:18:07 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:08 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:09 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:10 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:11 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:18:12 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:13 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:14 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:15 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:16 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:17 2023,0.248139,428765184,4416989193780068353
Mon Nov 27 02:18:18 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:19 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:20 2023,0.502513,428765184,4416989193780068353
Mon Nov 27 02:18:21 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:22 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:18:23 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:24 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:25 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:26 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:27 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:18:28 2023,0.250000,428765184,4416989193780068353
